ident,type,name,iso_country,iata_code
US-0690,small_airport,Entz Oliver Airport,US,
US-0691,small_airport,South Farm Airport,US,
US-0692,heliport,George E Weems Memorial Hospital Heliport,US,
US-0693,small_airport,Flying H Ranch Airport,US,
US-0694,heliport,Cayuga Medical Center Heliport,US,
US-0695,small_airport,DJ Farm Airport,US,
US-0696,small_airport,Shank N Bank Airport,US,
US-0697,heliport,Franciscan Health Lafayette East Heliport,US,
US-0698,small_airport,Yancey Creek Ranch Airport,US,
US-0699,small_airport,2C Ranch Airport,US,
US-0700,small_airport,Green Valley Farms Airport,US,
US-0701,heliport,Lindsborg Community Hospital Heliport,US,
US-0702,small_airport,Roland Ranch Airport,US,
US-0703,small_airport,Matt Doyle Airpark,US,
US-0704,heliport,ACH Springdale Heliport,US,
US-0707,small_airport,Helling Airport,US,
US-0708,small_airport,McAlister Airpark,US,
US-0709,heliport,Penn Highlands Hospital Heliport,US,
US-0710,small_airport,Walnut Grove Airport,US,
US-0711,small_airport,Lemons Airstrip,US,
US-0712,heliport,Oishei Childrens Hospital Heliport,US,
US-0713,small_airport,Trigger Gap Airport,US,
US-0714,small_airport,Sandy Ridge Farms Airport,US,
US-0715,small_airport,Etna Airport,US,
US-0716,small_airport,Pegasus Airpark,US,
US-0717,heliport,Baptist Health Medical Center Conway Heliport,US,
US-0718,small_airport,Brown Airstrip,US,
US-0719,heliport,Manele Heliport,US,
US-0720,small_airport,CCR Field,US,
US-0721,small_airport,Pettijohn Acres Landing,US,
US-0722,small_airport,T & C Acres Airport,US,
US-0723,heliport,Sam Hider Community Health Center Heliport,US,
US-0724,heliport,Glenwood Regional Medical Center Heliport,US,
US-0725,small_airport,Berg Field,US,
US-0726,heliport,Amistad Central Heliport,US,
US-0727,heliport,Niazi Heliport,US,
US-0728,small_airport,Turnbull Airport,US,
US-0729,small_airport,Boardman Airfield,US,
US-0730,small_airport,Hogg Field,US,
US-0731,small_airport,Pom Wonderful Airstrip,US,
US-0732,heliport,Hennepin County Medical Center Heliport,US,
US-0733,small_airport,Southfork River Ranch Airport,US,
US-0734,heliport,ASP Lowell Heliport,US,
US-0735,small_airport,WWD Farms Airport,US,
US-0736,small_airport,Taylor Field,US,
US-0738,seaplane_base,Moving Cloud Island Seaplane Base,US,
US-0739,heliport,Bexar Metro Medical Heliport,US,
US-0740,small_airport,Big Chino Airstrip,US,
US-0741,small_airport,Flanders Field,US,
US-0742,small_airport,Stanton Hill Aerodrome,US,
US-0744,small_airport,Fort Kent Municipal Airport,US,
US-0747,small_airport,Lucky Landing Airport,US,
US-0751,heliport,Sunbright Heliport,US,
US-0752,heliport,Mercy Mt. Orab Hospital Heliport,US,
US-0753,small_airport,Mattingly Field,US,
US-0754,heliport,Double D Ranch Heliport,US,
US-0755,small_airport,Flyers Park Airport,US,
US-0756,heliport,Dignity Health St. Rose Dominican Hospital North Las Vegas Campus Heliport,US,
US-0757,small_airport,La Rue Airport,US,
US-0758,heliport,Riverside Shore Memorial Hospital Heliport,US,
US-0759,small_airport,Oneida Lake Strip Airport,US,
US-0760,seaplane_base,Moon Landing Seaplane Base,US,
US-0761,heliport,OPA Heliport,US,
US-0762,small_airport,M Sansom Ranch Airport,US,
US-0763,heliport,South Kohala Fire Station Heliport,US,
US-0765,heliport,GAF Helistop Heliport,US,
US-0766,heliport,Sebastian River Medical Center Heliport,US,
US-0767,small_airport,Klenawicus Airfield,US,
US-0769,heliport,Lane Regional Medical Center Heliport,US,
US-0770,heliport,Maria Perham Franklin Hospital Heliport,US,
US-0771,heliport,CHI St. Luke's Hospital Heliport,US,
US-0772,small_airport,Wildcat Airport,US,
US-0773,heliport,John Hopkins All Children's Hospital Heliport,US,
US-0774,heliport,Muddy Bottoms Heliport,US,
US-0775,heliport,Isle of Wight Volunteer Rescue Squad Heliport,US,
US-0776,small_airport,Itll Do Airfield,US,
US-0777,small_airport,Dow Ranch Airport,US,
US-0778,small_airport,Flying L Airport,US,
US-0779,heliport,Fraundorfer Heliport,US,
US-0780,small_airport,Paducah Airport,US,
US-0781,heliport,Lifecare Medical Center Heliport,US,
US-0782,heliport,Dell Seton Medical Center Heliport,US,
US-0783,small_airport,Colvin Airport,US,
US-0784,small_airport,Glenwood Field,US,
US-0785,small_airport,Rock Ridge Airport,US,
US-0786,small_airport,Fourth Creek Ranch Airport,US,
US-0787,small_airport,White Field Airport,US,
US-0788,heliport,Pela 15 Heliport,US,
US-0789,heliport,Baptist Health Corbin Heliport,US,
US-0790,small_airport,Field of Dreams Airport,US,
US-0791,heliport,Essentia Hospital Heliport,US,
US-0792,small_airport,Tracemont Field,US,
US-0793,seaplane_base,Lake Cochrane Seaplane Base,US,
US-0794,heliport,Texas Health Resources Frisco Hospital Heliport,US,
US-0795,heliport,Childrens Hospital Colorado Heliport,US,
US-0796,small_airport,Stoner Memorial Airport,US,
US-0797,heliport,Memorial Hermann Southwest Hospital Heliport,US,
US-0798,seaplane_base,Flying Floats Base Seaplane Base,US,
US-0799,heliport,Blackwater Heliport,US,
US-0800,heliport,Camelback Mountain Resort Heliport,US,
US-0801,heliport,Memorial Hermann Sugar Land Hospital Heliport,US,
US-0802,heliport,Belleharbour Heliport,US,
US-0803,small_airport,Red Oak Airport,US,
US-0804,small_airport,Big Creek Ranch Airstrip,US,
US-0805,small_airport,Ramey 1 Airport,US,
US-0806,small_airport,Pro Agri Airport,US,
US-0807,small_airport,M & M Airfield,US,
US-0808,small_airport,Doren Field,US,
US-0809,seaplane_base,Summer Lakes Seaplane Base,US,
US-0810,heliport,GAC Waterfront Heliport,US,
US-0811,seaplane_base,Jones Brothers East Seaplane Base,US,
US-0812,small_airport,Mettler Airport,US,
